--- BULinkThread Status at 163834 (TickCount=3740911441)---
00(WAITREQ) QNO1105709 GID(GMDB1      ) LT[02:00:06] LF167 LRT930031  LST0          
01(WAITREQ) QNO100602 GID(GMDB1      ) LT[02:00:06] LF105 LRT930098  LST0          
02(WAITREQ) QNO5032  GID(GMDB1      ) LT[02:00:06] LF 71 LRT930031  LST0          
03(WAITREQ) QNO404   GID(GMDB1      ) LT[02:00:06] LF 53 LRT930099  LST0          
04(WAITREQ) QNO259   GID(GMDB1      ) LT[02:00:06] LF 50 LRT930098  LST0          
05(WAITREQ) QNO163   GID(GMDB1      ) LT[02:00:06] LF 34 LRT930098  LST0          
06(WAITREQ) QNO19    GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
07(WAITREQ) QNO7     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
08(WAITREQ) QNO6     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
09(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
10(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
11(NOTREADY) QNO5    
12(WAITREQ) QNO4     GID(GMDB1      ) LT[01:09:15] LF 10 LRT0       LST0          
13(WAITREQ) QNO3     GID(GMDB1      ) LT[01:12:38] LF 10 LRT0       LST0          
14(WAITREQ) QNO2     GID(GMDB1      ) LT[01:19:49] LF 10 LRT0       LST0          
15(WAITREQ) QNO2     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          

Function Status at 163834 (TickCount=3740911441)---
funcno|class|active|success|failure|           time| t_max| t_min|Description       | Programmer   
847165|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847166|    1|     Y|      2|      0|             53|    33|    20|xxx|hxz
847168|    1|     Y|      1|      0|            145|   145|   145|xxx|hxz
847170|    1|     Y|     61|     12|           1636|    72|     9|卡户帐户查询|hxz
847171|    1|     Y|    187|     57|          38485|  1082|    10|操作员交易流水查询|hxz
847172|    1|     Y|     27|      0|           4937|   352|   131|操作员交易流水查询|hxz
847173|    1|     Y|     51|      0|           1209|    56|     2|操作员交易流水查询|hxz
847174|    1|     Y|      0|      0|              0|     0|     0|操作员交易流水查询|hxz
847180|    1|     Y|      3|      0|            958|   645|   149|终端机未入账流水查询|hxz
847181|    1|     Y|      0|      0|              0|     0|     0| 终端机未入账流水手工入账|hxz
847182|    1|     Y|      0|      0|              0|     0|     0|设备商户查询|hxz
847183|    1|     Y|      0|      0|              0|     0|     0|冲正交易|hxz
847184|    1|     Y|     38|      5|          29991|  7467|    10|冲正交易|hxz
847185|    1|     Y|      0|      3|              0|     0|     0|查询银行对帐单|hxz
847190|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
847191|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
847192|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
847193|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
848001|    1|     Y|      0|      0|              0|     0|     0|门禁组管理|tc
848002|    1|     Y|      0|      0|              0|     0|     0|门禁组设备管理|tc
848003|    1|     Y|      0|      0|              0|     0|     0|门禁权限分配|wj
848004|    1|     Y|      0|      0|              0|     0|     0|门禁人员信息查询|wj
848005|    1|     Y|      0|      0|              0|     0|     0|门禁人员信息查询|wj
848006|    1|     Y|      0|      0|              0|     0|     0|门禁人员分配|wj
848007|    1|     Y|      0|      0|              0|     0|     0|门禁已分配人员查询|wj
848008|    1|     Y|      0|      0|              0|     0|     0|门禁已分配人员删除|wj
848009|    1|     Y|      0|      0|              0|     0|     0|门禁组时间段管理|tc
848010|    1|     Y|      0|      0|              0|     0|     0|门禁机时间段管理|tc
848011|    1|     Y|      0|      0|              0|     0|     0|门禁机节假日管理|tc
848012|    1|     Y|      0|      0|              0|     0|     0|门禁机组节假日管理|tc
848013|    1|     Y|      0|      0|              0|     0|     0|门禁机节假日管理|tc
848014|    1|     Y|      0|      0|              0|     0|     0|门禁机流水查询|tc
848015|    1|     Y|      0|      0|              0|     0|     0|门禁机进出率统计查询|tc
848016|    1|     Y|      0|      0|              0|     0|     0|门禁日报表|tc
848017|    1|     Y|      0|      0|              0|     0|     0|门禁机历史报表|tc
848018|    1|     Y|      0|      0|              0|     0|     0|门禁组权限分配|tc
848020|    1|     Y|      0|      0|              0|     0|     0|门禁学号名单导入|tc
849001|    1|     Y|      7|      2|            280|    59|    25|xxx|tc
849002|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849004|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849005|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849006|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849008|    1|     Y|      0|      3|              0|     0|     0|xxx|tc
849009|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849010|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849011|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849012|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849014|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
849015|    1|     Y|      0|      0|              0|     0|     0|xxx|tc
900120|    1|     Y|     41|      0|           1767|   101|     7|xxx|wj
900130|    1|     Y|      0|     12|              0|     0|     0|xxx|wj
900140|    1|     Y|     39|      0|           2397|   148|    20|xxx|wj
900150|    1|     Y|     56|      0|           2377|    57|     8|xxx|wj
900170|    1|     Y|    122|      2|          54703|  1962|     2|xxx|wj
900210|    1|     Y|      5|      0|            227|    53|    42|xxx|wj
900220|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
900230|    1|     Y|     46|      1|           2044|    99|     3|xxx|wj
900240|    1|     Y|      8|      0|            341|    74|     7|xxx|wj
900250|    1|     Y|      4|      4|           1233|   339|   294|xxx|wj
900260|    1|     Y|     14|      0|            560|    52|     5|xxx|wj
900270|    1|     Y|     81|      0|           9664|  1498|    33|xxx|wj
900088|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
930001|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930002|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930003|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930004|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930005|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930006|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930007|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930008|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930009|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930009|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930009|    1|     Y|      0|      0|              0|     0|     0|采集消费信息|dyf
930010|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930011|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930012|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930013|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930014|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930015|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930016|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930017|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930018|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930019|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930020|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930021|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930022|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930031|    1|     Y|  60138|      0|         964340|  2778|     3|xxxx|dyf_hhd
930032|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930033|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930034|    1|     Y|      3|      0|             49|    26|     8|xxxx|dyf_hhd
930035|    1|     Y|    937|      0|         166605| 54252|     4|xxxx|dyf_hhd
930036|    1|     Y|      3|      0|             64|    28|    10|xxxx|dyf_hhd
930037|    1|     Y|     10|      0|           9607|  1012|   899|xxxx|dyf_hhd
930037|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930038|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930039|    1|     Y|    611|      0|           3007|     9|     1|xxxx|dyf_hhd
930040|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930041|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930042|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930043|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930044|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930045|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930046|    1|     Y|    611|      0|           2556|    33|     0|xxxx|dyf_hhd
930047|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930051|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930052|    1|     Y|     10|      0|            238|    36|    10|xxxx|dyf_hhd
930053|    1|     Y|      9|      0|            127|    38|     5|xxxx|dyf_hhd
930054|    1|     Y|    136|      0|            601|    10|     0|xxxx|dyf_hhd
930055|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
930056|    1|     Y|      0|      0|              0|     0|     0|xxxx|dyf_hhd
